Top queries,Clicks,Impressions,CTR,Position
rooval,2,10,20%,3.3
roofing near me,1,24,4.17%,7.79
roof repair highland ut,0,1249,0%,7.89
roofing highland ut,0,1076,0%,8.52
roof repair sandy ut,0,1000,0%,15.19
roofing sandy ut,0,999,0%,20.36
roof repair provo ut,0,889,0%,22.77
roofing provo ut,0,638,0%,23.09
roof repair near me,0,165,0%,5.71
roof replacement provo,0,158,0%,21.97
provo roofer,0,128,0%,29.38
roof repair orem,0,120,0%,17.12
provo roof repair,0,112,0%,19.39
lehi roofing companies,0,111,0%,26.13
roofers near me,0,109,0%,2.86
roofing orem utah,0,106,0%,23.61
which roofing companies in highland ut offer roof repair and installation?,0,105,0%,8.77
roof inspection lehi,0,103,0%,10
roofing contractors orem ut,0,102,0%,21.46
which roofing companies in sandy ut provide roof repair and replacement?,0,101,0%,12.49
roof repair provo,0,101,0%,26.95
provo roof replacement,0,96,0%,14.45
roofers provo,0,91,0%,32.27
roofing contractor lehi,0,90,0%,27.26
roofing contractors sandy ut,0,89,0%,21.96
roof replacement salt lake city,0,88,0%,28.03
lehi roofers,0,85,0%,28.11
new roof provo,0,79,0%,15.56
"which roofing companies in provo ut offer roof repair and replacement 
services?",0,78,0%,14.45
roof estimate orem,0,77,0%,7.4
roofing orem ut,0,77,0%,20.55
roofing contractor provo ut,0,77,0%,27.99
roofing contractor orem,0,76,0%,20.53
roof replacement orem,0,75,0%,18
lehi roofing,0,75,0%,23.84
roofer sandy ut,0,74,0%,19.58
roof installation orem,0,73,0%,12.92
orem roofing company,0,73,0%,17.64
roofing contractor provo,0,72,0%,21.86
roof installation provo,0,69,0%,13.42
roofing contractor lindon,0,67,0%,3.54
roof estimate lehi,0,66,0%,13.32
commercial roofers near me,0,65,0%,1
roof estimate lindon,0,65,0%,3.25
roofing provo utah,0,65,0%,28.71
roofing companies provo,0,65,0%,38.52
roof replacement vernal ut,0,65,0%,41.05
provo roofing contractor,0,64,0%,19.86
roofing contractors provo,0,63,0%,23.79
roofers provo utah,0,63,0%,30.98
roof installation,0,62,0%,1
roof repairs lindon utah,0,61,0%,5.46
roof repair sandy,0,60,0%,16.82
roof repair lehi,0,60,0%,20.62
local roofers,0,57,0%,1.39
roof repair services orem,0,57,0%,16.12
roof maintenance services orem,0,57,0%,21.11
roofing contractor lindon ut,0,56,0%,5.52
roof replacement,0,56,0%,7.64
replacement roof provo,0,56,0%,20.45
roofing orem,0,56,0%,22.14
roof replacement lehi,0,54,0%,22.57
provo roofing,0,53,0%,26.38
roofing contractors highland,0,52,0%,8.38
roofers orem,0,52,0%,22.58
roof maintenance lehi,0,52,0%,25.54
provo roofers,0,52,0%,29.71
roofing eagle mountain ut,0,50,0%,24.22
